recnum,fc_num,contact_date,sex,race,age,build,hair_style,complexion,ethnicity,otherclothing
100059493,F190042091,2019-01-27 20:00:00.0,Male,Black,20,Thin,,Dark Brown,Not of Hispanic Origin,
100059541,F190042100,2019-01-29 05:30:00.0,Male,Black,21,Thin,,Light Brown,Unknown,"BLACK JACKET, BLACK PANTS"
100059438,F190042056,2019-01-28 01:10:00.0,Male,White,23,Heavy,,Light Brown,Hispanic Origin,"BLACK HOODIE, BLACK SWEATS, BLACK SNEAKERS"
100059242,F190041923,2019-01-21 17:10:00.0,Male,Black,26,,,,Hispanic Origin,
100059125,F190041837,2019-01-15 16:44:00.0,Male,Black,19,,,,Not of Hispanic Origin,BLUE SWEAT SUIT
100059374,F190042004,2019-01-24 10:45:00.0,Male,White,54,Thin,Short,Light,Unknown,
100059261,F190041898,2019-01-19 16:20:00.0,Male,Black,21,,,,Not of Hispanic Origin,"BLACK KNIT HAT, BLACK JACKET, GRAY SWEATSHIRT, BLACK SWEATPANTS, BLACK SNEAKERS"
100059262,F190041898,2019-01-19 16:20:00.0,Male,Black,20,,,,Unknown,"BLACK PUFFY JACKET, GREEN SWEATSHIRT, BLACK TRACK PANTS W/ WHITE STRIPE, BLUE SNEAKERS"
100059919,F190041954,2019-01-23 13:45:00.0,Male,Black,19,,,,Unknown,
100059047,F190041773,2019-01-15 09:20:00.0,Male,Black,31,Medium,,Dark,Not of Hispanic Origin,"RED HOODIE, BLACK COAT, DARK DUFFLE BAGS"
100059247,F190041924,2019-01-20 17:08:00.0,Male,Black,22,Medium,Braids,Black,Not of Hispanic Origin,BLACK SWEAT SHIRT
100059280,F190041942,2019-01-22 19:19:00.0,Female,White,21,,,,Unknown,
100059522,F190042107,2019-01-29 14:05:00.0,Female,White,28,Average,,Light,Not of Hispanic Origin,
100059410,F190042016,2019-01-25 18:00:00.0,Male,Unknown,17,,,,Unknown,
100060397,F190042678,2019-01-25 17:09:00.0,Male,White,20,,,,Not of Hispanic Origin,
100059243,F190041923,2019-01-21 17:10:00.0,Male,Black,19,Thin,,,Unknown,
100059231,F190041903,2019-01-19 16:34:00.0,Female,Black,20,Medium,,Dark,Not of Hispanic Origin,
100059073,F190041786,2019-01-15 17:33:00.0,Male,White,60,Heavy,,Light Brown,Hispanic Origin,"BLUE PLAID SHIRT, BLUE SWEATPANTS"
100059078,F190041779,2019-01-15 13:35:00.0,Male,Unknown,24,Medium,Short,Medium Brown,Unknown,"NAVY BLUE JACKET, BLACK SWEATPANTS"
100059085,F190041801,2019-01-15 17:20:00.0,Female,White,35,Medium,Straight,Light,Not of Hispanic Origin,
100059089,F190041805,2019-01-15 19:55:00.0,Male,Black,24,Average,,Dark,,
100059114,F190041819,2019-01-16 02:15:00.0,Male,Black,19,Thin,,Medium Brown,Hispanic Origin,
100059093,F190041807,2019-01-16 02:00:00.0,Male,White,26,,,,,
100059095,F190041815,2019-01-16 02:00:00.0,Male,Black,33,Average,Short,Medium Brown,Not of Hispanic Origin,"BLACK KNIT HAT WITH ""ROCKY HORROR PICTURE SHOW"" ON FRONT, RED PUFFY TOMMY HILFIGER VEST, RED JEANS, BLACK AND RED SNEAKERS"
100059098,F190041821,2019-01-16 08:05:00.0,Male,Black,13,Thin,Short,Dark,,"BLACK JACKET, BLACK SWEATPANTS, BLACK SNEAKERS, EARINGS"
100059100,F190041812,2019-01-16 00:30:00.0,Male,Black,30,Average,Short,Medium Brown,Not of Hispanic Origin,"RED BASEBALL CAP, BLACK JACKET, GRAY SWEATPANTS"
100059205,F190041851,2019-01-17 01:00:00.0,Male,Black,40,Thin,,Light Brown,Unknown,"BLUE JACKET WITH HOOD, BLACK SWEAPANTS"
100059105,F190041809,2019-01-16 00:25:00.0,Male,Black,28,Thin,Short,,Not of Hispanic Origin,"TAN JACKET, BLUE SWEATPANTS"
100059106,F190041809,2019-01-16 00:25:00.0,Male,Black,28,,,,,
100059111,F190041817,2019-01-16 02:37:00.0,Male,White,21,Medium,Short,Light,Not of Hispanic Origin,"BLACK PEACOAT, CLACK DRESS SHIRT, BLACK DRESS PANTS"
100059115,F190041819,2019-01-16 02:15:00.0,Male,Black,21,Thin,Short,Light Brown,Hispanic Origin,
100059116,F190041819,2019-01-16 02:15:00.0,Male,Black,23,Average,Short,Light Brown,Hispanic Origin,
100059117,F190041822,2019-01-16 09:55:00.0,Male,Black,24,Average,Braids,Dark Brown,,"BLACK JACKET, AND LIGHT WEIGHT NAVY BLUE SWEAT PANTS"
100059118,F190041823,2019-01-16 10:04:00.0,Male,White,49,,,,,"PATRIOTS WINTER HAT, CAMO JACKET, JEANS"
100059119,F190041824,2019-01-16 08:21:00.0,Male,White,27,Medium,Long,Light,Not of Hispanic Origin,"BLACK JACKET, SWEATPANTS, WRAPPED IN BLANKETS"
100059121,F190041830,2019-01-16 15:00:00.0,Male,White,20,,,Light Brown,Hispanic Origin,
100059123,F190041826,2019-01-16 00:00:00.0,Male,White,,Stocky,,Light,Not of Hispanic Origin,"BLUE JEANS, GREEN JACKET, DARK BROWN BOOTS,"
